,dataset,jobid,timeserie,signal_length,n_brkpts,algo_name,cost_function,loss,penalty,computation_time
0,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,352,Pelt,L1,15082714182.0,0.001,3.989013910293579
1,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,352,Pelt,L1,15082714182.0,0.015848931924611134,3.539039373397827
2,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,455,Pelt,L2,5.43367190828342e+18,0.001,0.5297129154205322
3,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,455,Pelt,L2,5.43367190828342e+18,0.015848931924611134,0.4417693614959717
4,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,1,Binseg,L1,17646599301.0,0.001,0.43263912200927734
5,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,1,Binseg,L1,17646599301.0,0.015848931924611134,0.39987945556640625
6,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,1,Binseg,L2,8.631638776439158e+18,0.001,0.27640509605407715
7,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,1,Binseg,L2,8.631638776439158e+18,0.015848931924611134,0.2541954517364502
8,dataset_genji_IOI_BD260919,457344,bytesRead,2758,24,Pelt,L1,8012161480.0,0.001,24.93462824821472
9,dataset_genji_IOI_BD260919,457344,bytesRead,2758,24,Pelt,L1,8012161480.0,0.015848931924611134,25.54240322113037
10,dataset_genji_IOI_BD260919,457344,bytesRead,2758,37,Pelt,L2,3.499332659714716e+18,0.001,11.465766191482544
11,dataset_genji_IOI_BD260919,457344,bytesRead,2758,37,Pelt,L2,3.499332659714716e+18,0.015848931924611134,8.637906074523926
12,dataset_genji_IOI_BD260919,457344,bytesRead,2758,1,Binseg,L1,10455474552.0,0.001,0.2842257022857666
13,dataset_genji_IOI_BD260919,457344,bytesRead,2758,1,Binseg,L1,10455474552.0,0.015848931924611134,0.26999783515930176
14,dataset_genji_IOI_BD260919,457344,bytesRead,2758,1,Binseg,L2,6.080721765888937e+18,0.001,0.18300175666809082
15,dataset_genji_IOI_BD260919,457344,bytesRead,2758,1,Binseg,L2,6.080721765888937e+18,0.015848931924611134,0.1680009365081787
16,dataset_genji_IOI_BD260919,465155,bytesWritten,107,0,Pelt,L1,0.0,0.001,0.02499842643737793
17,dataset_genji_IOI_BD260919,465155,bytesWritten,107,0,Pelt,L1,0.0,0.015848931924611134,0.026996135711669922
18,dataset_genji_IOI_BD260919,465155,bytesWritten,107,0,Pelt,L2,0.0,0.001,0.016001224517822266
19,dataset_genji_IOI_BD260919,465155,bytesWritten,107,0,Pelt,L2,0.0,0.015848931924611134,0.02599811553955078
20,dataset_genji_IOI_BD260919,465155,bytesWritten,107,1,Binseg,L1,0.0,0.001,0.01399850845336914
21,dataset_genji_IOI_BD260919,465155,bytesWritten,107,1,Binseg,L1,0.0,0.015848931924611134,0.00900125503540039
22,dataset_genji_IOI_BD260919,465155,bytesWritten,107,1,Binseg,L2,0.0,0.001,0.004000186920166016
23,dataset_genji_IOI_BD260919,465155,bytesWritten,107,1,Binseg,L2,0.0,0.015848931924611134,0.0050008296966552734
24,dataset_genji_IOI_BD260919,465155,bytesRead,107,0,Pelt,L1,56020.0,0.001,0.03000187873840332
25,dataset_genji_IOI_BD260919,465155,bytesRead,107,0,Pelt,L1,56020.0,0.015848931924611134,0.027002811431884766
26,dataset_genji_IOI_BD260919,465155,bytesRead,107,2,Pelt,L2,2048822229.1999998,0.001,0.022002220153808594
27,dataset_genji_IOI_BD260919,465155,bytesRead,107,2,Pelt,L2,2048822229.1999998,0.015848931924611134,0.014999866485595703
28,dataset_genji_IOI_BD260919,465155,bytesRead,107,1,Binseg,L1,56020.0,0.001,0.007999897003173828
29,dataset_genji_IOI_BD260919,465155,bytesRead,107,1,Binseg,L1,56020.0,0.015848931924611134,0.00699925422668457
30,dataset_genji_IOI_BD260919,465155,bytesRead,107,1,Binseg,L2,2048985995.8666666,0.001,0.004001140594482422
31,dataset_genji_IOI_BD260919,465155,bytesRead,107,1,Binseg,L2,2048985995.8666666,0.015848931924611134,0.0039980411529541016
